question,answer
where is hospital,"Near Navale Bridge, Pune"
hospital address,"Near Navale Bridge, Pune"
location,"Near Navale Bridge, Pune"
how to reach hospital,"Near Navale Bridge, Pune"
nearest hospital,"Near Navale Bridge, Pune"
hospital in pune,"Near Navale Bridge, Pune"
hospital timing,9 AM to 8 PM
opening time,9 AM to 8 PM
closing time,9 AM to 8 PM
working hours,9 AM to 8 PM
is hospital open,9 AM to 8 PM
doctor list,"Doctors: Dr. Varad, Dr. Pradnya, Dr. Amit"
available doctors,"Doctors: Dr. Varad, Dr. Pradnya, Dr. Amit"
heart doctor,"Doctors: Dr. Varad, Dr. Pradnya, Dr. Amit"
dentist,"Doctors: Dr. Varad, Dr. Pradnya, Dr. Amit"
specialist,"Doctors: Dr. Varad, Dr. Pradnya, Dr. Amit"
doctor details,"Doctors: Dr. Varad, Dr. Pradnya, Dr. Amit"
services,"Teeth Cleaning, Root Canal, Heart Checkup, Child Care, Fracture Treatment, Skin Treatment, Brain Scan"
heart treatment,"Teeth Cleaning, Root Canal, Heart Checkup, Child Care, Fracture Treatment, Skin Treatment, Brain Scan"
root canal,"Teeth Cleaning, Root Canal, Heart Checkup, Child Care, Fracture Treatment, Skin Treatment, Brain Scan"
child care,"Teeth Cleaning, Root Canal, Heart Checkup, Child Care, Fracture Treatment, Skin Treatment, Brain Scan"
brain scan,"Teeth Cleaning, Root Canal, Heart Checkup, Child Care, Fracture Treatment, Skin Treatment, Brain Scan"
skin treatment,"Teeth Cleaning, Root Canal, Heart Checkup, Child Care, Fracture Treatment, Skin Treatment, Brain Scan"
emergency,24x7 Emergency
icu,24x7 Emergency
accident case,24x7 Emergency
urgent treatment,24x7 Emergency
ambulance,Ambulance Available
need ambulance,Ambulance Available
ambulance service,Ambulance Available
insurance,Insurance Accepted
cashless,Insurance Accepted
medical insurance,Insurance Accepted
appointment,Call hospital for booking
book doctor,Call hospital for booking
visit doctor,Call hospital for booking
